Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Szépvölgyi út H,23:52,23:53,23:52,23:54,A,not passed
,Tímár utca H,23:54,23:55,23:54,23:55,A,not passed
,Szentlélek tér H,23:56,23:56,23:56,23:57,A,not passed
,Filatorigát H,23:58,23:59,23:58,23:59,A,not passed
,Kaszásdűlő H,00:00,00:00,00:00,00:00,A,not passed
,Aquincum H,00:02,00:02,00:02,00:03,A,not passed
,Rómaifürdő H,00:04,00:04,00:04,00:04,A,not passed
,Csillaghegy H,00:06,00:06,00:06,00:06,A,not passed
,Békásmegyer H,00:09,00:09,00:10,00:10,1,not passed
,Budakalász H,00:13,00:13,00:13,00:13,3,not passed
,"Budakalász, Lenfonó H",00:15,00:15,00:15,00:15,A,not passed
,Szentistvántelep H,00:17,00:16,00:17,00:16,A,not passed
,Pomáz H,00:19,00:19,00:20,00:19,3,not passed
,Pannóniatelep H,00:24,00:24,00:24,00:24,A,not passed
,Szentendre H,00:27,00:27,,,3,not passed
