Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
6,Fenyveshegy,22:46,22:47,22:46,22:47,mh,not passed
10,Magyarkút-Verőce,22:50,22:51,22:50,22:51,mh,not passed
12,Magyarkút,22:54,22:54,22:54,22:55,mh,not passed
15,Szokolya,22:59,22:59,23:00,23:00,3,not passed
22,Berkenye,23:12,23:11,23:12,23:12,mh,not passed
24,Nógrád,23:17,23:17,23:17,23:17,2,not passed
29,Diósjenő,23:25,23:25,23:30,23:31,2,not passed
34,Borsosberény,23:39,23:40,23:39,23:40,mh,not passed
38,Nagyoroszi,23:45,23:47,23:46,23:48,2,not passed
40,Drégelyvár,23:49,23:51,23:49,23:52,mh,not passed
46,Drégely,24:00,00:03,00:00,00:03,mh,not passed
48,Drégelypalánk,00:03,00:06,00:08,00:10,2,not passed
53,Ipolyvece,00:15,00:16,00:15,00:17,mh,not passed
60,Dejtár,00:25,00:25,00:25,00:25,3,not passed
62,Ipolyszög,00:28,00:28,00:28,00:28,mh,not passed
70,Balassagyarmat,00:38,00:38,,,2,not passed
