Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Miskolc-Tiszai,,,22:48,22:48,2,not passed
2,Miskolc-Gömöri,22:51,22:51,22:51,22:51,3,not passed
11,Sajóecseg,22:59,22:59,23:00,23:00,3,not passed
17,Sajószentpéter,23:06,23:20,23:07,23:07,4,not passed
23,Kazincbarcika alsó,23:12,23:12,23:13,23:13,-,not passed
25,Kazincbarcika,23:15,23:15,23:16,23:16,3,not passed
39,Putnok,23:29,23:29,23:30,23:30,3,not passed
46,Bánréve,23:36,23:36,23:44,23:44,1,not passed
55,Ózd alsó,23:52,23:52,23:53,23:53,-,not passed
58,Ózd,23:56,23:56,,,3,not passed
